ID;USERNAME_;PASSWORD_;NAMESURNAME;EMAIL;GENDER;BIRTHDATE;CREATEDDATE;TELNR2;AGE
25;R_NURALAN;thebandofmercysnow;Remzi NURALAN;R_NURALAN@sqlegitimbtk.com;E;22.03.1947;22.08.2018 01:35;(555)5977452;78
26;E_NAZ;ierotnak;Elif naz DABANLIOĞLU;E_NAZ@sqlegitimbtk.com;K;25.12.1966;22.08.2018 01:35;(544)9446232;59
27;A_GVNESDOGDU;ra.yray;Abdurrahman GÜNEŞDOĞDU;A_GVNESDOGDU@sqlegitimbtk.com;E;21.08.1982;23.08.2018 01:35;(532)7208953;43
28;M_AYDOGMUS;daddygirl459;Muzaffer AYDOĞMUŞ;M_AYDOGMUS@sqlegitimbtk.com;E;25.06.1974;24.08.2018 01:35;(505)7622949;51
29;N_ORNEK;akwraa;Nazlı ÖRNEK;N_ORNEK@sqlegitimbtk.com;K;24.08.1949;25.08.2018 01:35;(533)6897543;76
30;S_SAPCI;wa11e+5;Serdar ŞAPÇI;S_SAPCI@sqlegitimbtk.com;E;11.02.1961;26.08.2018 01:35;(544)4796414;64
31;A_INCECIK;pepett1697;Ali İNCECİK;A_INCECIK@sqlegitimbtk.com;E;12.10.1949;27.08.2018 01:35;(532)8259521;76
32;A_ABDELKADER;ziara505;Ayşe ABDELKADER;A_ABDELKADER@sqlegitimbtk.com;K;1.11.1996;28.08.2018 01:35;(541)1279123;29
33;R_ERTURGUT;imaloserbaby02;Rıza ERTURGUT;R_ERTURGUT@sqlegitimbtk.com;E;27.08.1991;29.08.2018 01:35;(541)6844835;34
34;Z_BIRICIKLIOGLU;1924400;Zeki BİRİCİKLİOĞLU;Z_BIRICIKLIOGLU@sqlegitimbtk.com;E;16.01.1995;31.08.2018 01:35;(537)7516218;30
35;H_VOLKAN;mikewoodpush;Hüseyin VOLKAN;H_VOLKAN@sqlegitimbtk.com;E;14.08.1958;1.09.2018 01:35;(543)6783163;67
36;C_KARADAYI;ptdadon137;Çiğdem KARADAYI;C_KARADAYI@sqlegitimbtk.com;K;23.09.1970;2.09.2018 01:35;(533)4398784;55
37;E_SANHAL;naomi_akemi;Erol SANHAL;E_SANHAL@sqlegitimbtk.com;E;23.09.1957;3.09.2018 01:35;(532)1589614;68
38;A_AYNAOGLU;mizz_powell;Azat AYNAOĞLU;A_AYNAOGLU@sqlegitimbtk.com;E;23.10.1978;4.09.2018 01:35;(505)7912035;47
39;S_TASDEMIR;loire1588;Sudenaz TASDEMIR;S_TASDEMIR@sqlegitimbtk.com;K;29.10.1944;5.09.2018 01:35;(554)6936086;81
40;B_AKKOR;magic620;Birsen AKKOR;B_AKKOR@sqlegitimbtk.com;K;1.06.1950;6.09.2018 01:35;(505)7016920;75
41;G_BIKEC;the_simple;Gülsüm BİKEÇ;G_BIKEC@sqlegitimbtk.com;K;22.07.1970;7.09.2018 01:35;(554)8248296;55
42;H_KOKBULAK;e8cb7c;Hamdi KÖKBULAK;H_KOKBULAK@sqlegitimbtk.com;E;30.09.1946;8.09.2018 01:35;(532)5129012;79
43;S_AKCAN;counterconversion7;Sevda AKÇAN;S_AKCAN@sqlegitimbtk.com;K;12.05.1964;10.09.2018 01:35;(532)3438190;61
44;S_SERALI;dauno1;Sebahat ŞERALI;S_SERALI@sqlegitimbtk.com;K;11.06.1943;11.09.2018 01:35;(532)2212126;82
45;I_HAMIDI;miicccaaaa;Irmak HAMİDİ;I_HAMIDI@sqlegitimbtk.com;K;13.11.1973;12.09.2018 01:35;(555)1183975;52
46;S_KARIMAN;mederic936;Sabri KARİMAN;S_KARIMAN@sqlegitimbtk.com;E;6.05.1952;13.09.2018 01:35;(532)9777077;73
47;T_AKKOC;eisenbahnraeuber;Tuğçe AKKOÇ;T_AKKOC@sqlegitimbtk.com;K;8.06.1958;14.09.2018 01:35;(533)6299636;67
48;N_ERCAM;6359799;Necdet ERÇAM;N_ERCAM@sqlegitimbtk.com;E;22.05.1986;15.09.2018 01:35;(534)2924742;39
49;A_INCIKAPI;rawetuk972;Ahmet İNCİKAPI;A_INCIKAPI@sqlegitimbtk.com;E;28.05.1991;16.09.2018 01:35;(538)8459085;34
50;A_TEMELOGLU;4underhive;Arif TEMELOĞLU;A_TEMELOGLU@sqlegitimbtk.com;E;11.12.1967;17.09.2018 01:35;(534)6379277;58
51;E_OZCELIKBAS;usama siam;Elif ÖZÇELİKBAŞ;E_OZCELIKBAS@sqlegitimbtk.com;K;6.06.1993;18.09.2018 01:35;(544)3937372;32
52;A_EYMEN;kamilek19864;Ali Eymen DEVE;A_EYMEN@sqlegitimbtk.com;E;23.01.1985;19.09.2018 01:35;(538)4811026;40
53;M_ALI;francisconolin;Muhammed Ali ABDULLAH;M_ALI@sqlegitimbtk.com;E;7.05.1987;20.09.2018 01:35;(532)3864478;38
54;N_DEVE;yishinsai;Nazife DEVE;N_DEVE@sqlegitimbtk.com;K;13.10.1967;20.09.2018 01:35;(532)6154260;58
55;C_KAZIKLI;ba9240;Cuma KAZIKLI;C_KAZIKLI@sqlegitimbtk.com;E;13.03.1971;21.09.2018 01:35;(536)8179732;54
56;I_HAVAS;b676cb;İhsan HAVAS;I_HAVAS@sqlegitimbtk.com;E;12.04.1955;22.09.2018 01:35;(555)2141827;70
57;D_DOKUYUCU;sweetiepie462;Dilan DOKUYUCU;D_DOKUYUCU@sqlegitimbtk.com;K;21.01.1993;23.09.2018 01:35;(534)4275461;32
58;S_OZBAY;moritzhof;Selim ÖZBAY;S_OZBAY@sqlegitimbtk.com;E;2.10.1992;24.09.2018 01:35;(533)4273519;33
59;Y_AGAGVL;jmlilli1998;Yasin AĞAGÜL;Y_AGAGVL@sqlegitimbtk.com;E;19.10.1979;25.09.2018 01:35;(537)3381012;46
60;M_EMIR;"d&eacute;peuplai777";Mehmet Emir SERÇE;M_EMIR@sqlegitimbtk.com;E;29.08.1997;26.09.2018 01:35;(535)2433099;28
61;O_FARUK;@80r+!ve1y;Ömer Faruk KOCANOĞLU;O_FARUK@sqlegitimbtk.com;E;11.08.1952;27.09.2018 01:35;(537)9468480;73
62;O_KVCVKIRAVUL;blondie1436;Özcan KÜÇÜKİRAVUL;O_KVCVKIRAVUL@sqlegitimbtk.com;E;8.10.1971;28.09.2018 01:35;(553)9686641;54
63;G_FERAK;superparamount3;Gökçe FERAK;G_FERAK@sqlegitimbtk.com;K;23.06.1952;29.09.2018 01:35;(553)6568845;73
64;N_TVRKSARI;colombia1610;Nazmiye TÜRKSARI;N_TVRKSARI@sqlegitimbtk.com;K;17.07.1964;30.09.2018 01:35;(533)8437788;61
65;N_SAHAN;aphillipsrn;Naz SAHAN;N_SAHAN@sqlegitimbtk.com;K;21.10.1975;1.10.2018 01:35;(544)7642634;50
66;E_CANLI;3380117;Eren CANLI;E_CANLI@sqlegitimbtk.com;E;6.01.1970;2.10.2018 01:35;(532)9362663;55
67;K_SUNGURLU;imjustmexxx;Kübra SUNGURLU;K_SUNGURLU@sqlegitimbtk.com;K;11.02.1985;3.10.2018 01:35;(535)1196870;40
68;O_EYYVBOGLU;gregorychan;Onur EYYÜBOĞLU;O_EYYVBOGLU@sqlegitimbtk.com;E;29.09.1945;4.10.2018 01:35;(536)4471784;80
69;M_MADENVS;splat ~ <===q;Mete MADENÜS;M_MADENVS@sqlegitimbtk.com;E;21.01.1972;5.10.2018 01:35;(535)7299820;53
70;M_EMIN;7974281;Muhammed Emin SARIGÖL;M_EMIN@sqlegitimbtk.com;E;26.06.1985;6.10.2018 01:35;(538)6701551;40
71;D_BARISCAKIR;biblesandbridles;Demet BARIŞÇAKIR;D_BARISCAKIR@sqlegitimbtk.com;K;30.08.1996;7.10.2018 01:35;(537)1126317;29
72;H_BABAN;morropunk;Habibe BABAN;H_BABAN@sqlegitimbtk.com;K;27.01.1948;8.10.2018 01:35;(535)6068395;77
73;C_KAHVECILER;h0m00u$ia$t;Cengiz KAHVECİLER;C_KAHVECILER@sqlegitimbtk.com;E;17.02.1973;9.10.2018 01:35;(553)1409272;52
74;P_BASARA;vrhdyttivt;Pakize BAŞARA;P_BASARA@sqlegitimbtk.com;K;22.10.1959;10.10.2018 01:35;(553)7415530;66
75;S_NEYAL;1 mckinsey;Savaş NEYAL;S_NEYAL@sqlegitimbtk.com;E;2.07.1963;11.10.2018 01:35;(541)5957169;62
76;B_KACAROGLU;ivan12051997;Bülent KAÇAROĞLU;B_KACAROGLU@sqlegitimbtk.com;E;9.01.1995;12.10.2018 01:35;(541)5324664;30
77;H_TERKES;tony3dice;Helin TERKES;H_TERKES@sqlegitimbtk.com;K;16.12.1975;13.10.2018 01:35;(542)7223744;50
78;Z_HATAY;topo_gigio;Zekiye HATAY;Z_HATAY@sqlegitimbtk.com;K;23.04.1989;14.10.2018 01:35;(544)6129721;36
79;A_KISE;goodvaibs;Arya KİSE;A_KISE@sqlegitimbtk.com;K;25.05.1994;15.10.2018 01:35;(555)5583072;31
80;N_CITIRAK;8bb064;Nimet ÇITIRAK;N_CITIRAK@sqlegitimbtk.com;K;8.08.1964;16.10.2018 01:35;(536)3863671;61
81;E_NUR;1197tinti;Ela nur SEREK;E_NUR@sqlegitimbtk.com;K;11.01.1994;17.10.2018 01:35;(538)3066585;31
82;A_OZCIL;pianger!;Ayhan ÖZÇİL;A_OZCIL@sqlegitimbtk.com;E;8.11.1963;18.10.2018 01:35;(534)1062665;62
83;A_ONVR;timothystonejr;Azad ÖNÜR;A_ONVR@sqlegitimbtk.com;E;23.03.1989;19.10.2018 01:35;(542)2487070;36
84;S_KAMURAN;digestivenessing;Sude KAMURAN;S_KAMURAN@sqlegitimbtk.com;K;23.12.1967;19.10.2018 01:35;(541)4484973;58
85;O_DERILIOGLU;decafdh;Özkan DERİLİOĞLU;O_DERILIOGLU@sqlegitimbtk.com;E;2.06.1996;20.10.2018 01:35;(533)6133643;29
86;C_DOLAR;engelchen2102;Can DOLAR;C_DOLAR@sqlegitimbtk.com;E;20.05.1986;21.10.2018 01:36;(538)4035057;39
87;H_DEMIRKAPI;amingow;Haydar DEMİRKAPI;H_DEMIRKAPI@sqlegitimbtk.com;E;12.09.1944;22.10.2018 01:36;(541)9415723;81
88;N_NUR;convulsionnerions1989;Nisa nur DUYSAK;N_NUR@sqlegitimbtk.com;K;19.11.1974;23.10.2018 01:36;(505)8132218;51
89;N_INAT;pacou369;Naciye İNAT;N_INAT@sqlegitimbtk.com;K;6.05.1946;24.10.2018 01:36;(541)5107064;79
90;C_KOKSALICI;ray_rodriguez_;Canan KÖKSALICI;C_KOKSALICI@sqlegitimbtk.com;K;11.06.1976;25.10.2018 01:36;(543)2062858;49
91;B_SALPAL;628887;Baran SALPAL;B_SALPAL@sqlegitimbtk.com;E;4.03.1965;26.10.2018 01:36;(542)1814083;60
92;A_TVTNCV;photogod;Azra TÜTNCÜ;A_TVTNCV@sqlegitimbtk.com;K;1.01.1977;27.10.2018 01:36;(537)4311757;48
93;M_TVTER;antdog101;Mira TÜTER;M_TVTER@sqlegitimbtk.com;K;10.08.1967;28.10.2018 01:36;(553)1299626;58
94;B_OZCAGLI;5762017;Barış ÖZÇAĞLI;B_OZCAGLI@sqlegitimbtk.com;E;29.10.1956;29.10.2018 01:36;(505)1007558;69
95;I_BOLVK;mw9no9;İsa BÖLÜK;I_BOLVK@sqlegitimbtk.com;E;17.08.1976;30.10.2018 01:36;(541)1815266;49
96;A_VAPUR;lgdrake;Ada VAPUR;A_VAPUR@sqlegitimbtk.com;K;18.01.1949;31.10.2018 01:36;(532)9787325;76
97;N_ALNIACIK;sniderdairy;Naciye ALNIAÇIK;N_ALNIACIK@sqlegitimbtk.com;K;3.05.1963;1.11.2018 01:36;(536)7056660;62
98;S_ADACAN;ashleyborchardt;Şengül ADACAN;S_ADACAN@sqlegitimbtk.com;K;14.06.1944;2.11.2018 01:36;(543)5521543;81
99;E_ALSAN;shaehoskins;Emel ALSAN;E_ALSAN@sqlegitimbtk.com;K;10.08.1972;4.11.2018 01:36;(533)6485723;53
100;G_NURKAN;teyng;Güler NURKAN;G_NURKAN@sqlegitimbtk.com;K;21.03.1987;5.11.2018 01:36;(537)2322143;38
101;A_DOLAY;ba6f64;Aslıhan DOLAY;A_DOLAY@sqlegitimbtk.com;K;8.01.1957;6.11.2018 01:36;(544)5597413;68
102;A_ALTINGOZ;bandavr8;Abdurrahman ALTINGÖZ;A_ALTINGOZ@sqlegitimbtk.com;E;7.08.1999;7.11.2018 01:36;(538)2796190;26
103;T_KARACASULU;agata55;Taner KARACASULU;T_KARACASULU@sqlegitimbtk.com;E;16.12.1986;8.11.2018 01:36;(532)9346626;39
104;L_AYLANC;chwick_15;Leyla AYLANC;L_AYLANC@sqlegitimbtk.com;K;12.04.1992;9.11.2018 01:36;(554)7082859;33
105;U_SAFALTIN;rutaenil;Umut SAFALTIN;U_SAFALTIN@sqlegitimbtk.com;E;16.08.1952;10.11.2018 01:36;(533)6412455;73
106;N_MIRZALI;eyes_wide_shut666;Nazife MİRZALI;N_MIRZALI@sqlegitimbtk.com;K;18.07.1982;11.11.2018 01:36;(538)2824056;43
107;N_KARAKOSE;msjplatt;Neslihan KARAKOSE;N_KARAKOSE@sqlegitimbtk.com;K;15.01.1945;12.11.2018 01:36;(544)2196985;80
108;T_OZGV;$hir+$;Tuncay ÖZĞÜ;T_OZGV@sqlegitimbtk.com;E;15.10.1940;13.11.2018 01:36;(534)1988851;85
109;D_EVGIN;rotsloeffel;Demet EVGİN;D_EVGIN@sqlegitimbtk.com;K;7.08.1947;14.11.2018 01:36;(543)2176930;78
110;S_ALEMDAROGLU;kaelyn807;Sami ALEMDAROĞLU;S_ALEMDAROGLU@sqlegitimbtk.com;E;13.06.1949;15.11.2018 01:36;(532)9794144;76
111;E_KARAAT;feroun;Emrah KARAAT;E_KARAAT@sqlegitimbtk.com;E;28.12.1990;16.11.2018 01:36;(505)8084086;35
112;B_ALIMINYUM;itzmykel09;Birgül ALİMİNYUM;B_ALIMINYUM@sqlegitimbtk.com;K;10.08.1979;17.11.2018 01:36;(532)3947134;46
113;Z_BASSAKA;3wbeln;Zahide BAŞSAKA;Z_BASSAKA@sqlegitimbtk.com;K;16.09.1972;17.11.2018 01:36;(538)7013083;53
114;T_KAFE;holihsshiloh;Tansu KAFE;T_KAFE@sqlegitimbtk.com;K;8.05.1941;18.11.2018 01:36;(536)1656911;84
115;N_TVZVN;dhanicaem;Nisa TÜZÜN;N_TVZVN@sqlegitimbtk.com;K;1.09.1988;19.11.2018 01:36;(532)4472366;37
116;Y_BEGENDI;1724footbal;Yağız BEĞENDİ;Y_BEGENDI@sqlegitimbtk.com;E;15.10.1980;20.11.2018 01:36;(536)5145041;45
117;O_ISIS;iluvfarout1999;Orhan ISIŞ;O_ISIS@sqlegitimbtk.com;E;20.04.1984;21.11.2018 01:36;(541)1429750;41
118;R_INCEDAL;miguelantonio308;Rümeysa İNCEDAL;R_INCEDAL@sqlegitimbtk.com;K;18.03.1998;22.11.2018 01:36;(541)4889831;27
119;M_KARIP;loris813;Mücahit KARİP;M_KARIP@sqlegitimbtk.com;E;30.06.1980;23.11.2018 01:36;(538)9411451;45
120;S_SUKUSTURAN;5whit2;Sebahattin SUKUSTURAN;S_SUKUSTURAN@sqlegitimbtk.com;E;9.01.1951;24.11.2018 01:36;(534)4738142;74
121;D_ENGVZEL;peteyp21;Defne ENGÜZEL;D_ENGVZEL@sqlegitimbtk.com;K;21.09.1972;25.11.2018 01:36;(538)6079115;53
122;S_GIRIGN;ung41v4ni;Suat GİRİGN;S_GIRIGN@sqlegitimbtk.com;E;17.12.1976;26.11.2018 01:36;(543)2335559;49
123;S_DOJME;cuisine180;Sabri DÖJME;S_DOJME@sqlegitimbtk.com;E;15.05.1981;27.11.2018 01:36;(537)9703293;44
124;B_EFENDIOGLU;dylnie;Berna EFENDİOGLU;B_EFENDIOGLU@sqlegitimbtk.com;K;7.08.1950;28.11.2018 01:36;(534)3603248;75
125;E_BIRSAN;9837966;Efe BİRSAN;E_BIRSAN@sqlegitimbtk.com;E;4.05.1960;29.11.2018 01:36;(537)2063996;65
126;R_ERGVZER;davion417;Raziye ERGÜZER;R_ERGVZER@sqlegitimbtk.com;K;6.02.1971;30.11.2018 01:36;(532)6157684;54
127;N_KAYAR;overattentive;Nihal KAYAR;N_KAYAR@sqlegitimbtk.com;K;9.10.1951;1.12.2018 01:36;(538)8592746;74
128;S_TATLIOGLU;sepideh sa;Serap TATLIOĞLU;S_TATLIOGLU@sqlegitimbtk.com;K;7.07.1953;2.12.2018 01:36;(543)7529346;72
129;G_ADAL;"c&ocirc;cherait1994";Gamze ADAL;G_ADAL@sqlegitimbtk.com;K;17.01.1991;3.12.2018 01:36;(535)4321850;34
130;O_ELEKTIRIK;ex-solent;Özcan ELEKTİRİK;O_ELEKTIRIK@sqlegitimbtk.com;E;26.02.1960;4.12.2018 01:36;(554)4021224;65
131;M_ALI;vagheresti9;Muhammed Ali ORUC;M_ALI@sqlegitimbtk.com;E;19.10.1996;5.12.2018 01:36;(555)6774295;29
132;E_PALABIYIK;stylohyoideus?;Eymen PALABIYIK;E_PALABIYIK@sqlegitimbtk.com;E;22.02.1951;6.12.2018 01:36;(505)1759536;74
133;E_ADA;lonnasmith;Elif ada PLAKET;E_ADA@sqlegitimbtk.com;K;1.09.1970;7.12.2018 01:36;(555)7857278;55
134;B_IPEKVS;lothian8;Bayram İPEKÜS;B_IPEKVS@sqlegitimbtk.com;E;18.06.1969;8.12.2018 01:36;(543)7537314;56
135;S_CILALITAS;9106160359;Sebahat CİLALITAŞ;S_CILALITAS@sqlegitimbtk.com;K;30.09.1978;10.12.2018 01:36;(532)2408341;47
136;E_KOSTEKCI;legron;Ege KÖSTEKÇİ;E_KOSTEKCI@sqlegitimbtk.com;E;16.07.1988;11.12.2018 01:36;(534)5284942;37
137;V_UGUR;12 17 1058;Vedat UGUR;V_UGUR@sqlegitimbtk.com;E;18.03.1977;12.12.2018 01:36;(553)7222585;48
138;D_OZTVRKDEMIR;xx_phannii_xx;Doruk ÖZTÜRKDEMİR;D_OZTVRKDEMIR@sqlegitimbtk.com;E;29.02.1980;13.12.2018 01:36;(538)8912112;45
139;S_GIRITLIOGLU;royoleyte;Sena GİRİTLİOĞLU;S_GIRITLIOGLU@sqlegitimbtk.com;K;22.04.1947;14.12.2018 01:36;(544)5285349;78
140;K_OKTAY;aboutadriaairways;Kerem OKTAY;K_OKTAY@sqlegitimbtk.com;E;19.08.1949;15.12.2018 01:36;(541)1467168;76
141;G_ATILANEVLAT;mv20112;Gönül ATILANEVLAT;G_ATILANEVLAT@sqlegitimbtk.com;K;20.01.1991;16.12.2018 01:36;(533)6289816;34
142;N_BVYVKAY;medsammensvorens;Nurettin BÜYÜKAY;N_BVYVKAY@sqlegitimbtk.com;E;14.07.1981;16.12.2018 01:36;(535)5091633;44
143;M_ENGIN;meythenod10;Mira ENGİN;M_ENGIN@sqlegitimbtk.com;K;29.05.1994;17.12.2018 01:36;(555)2342277;31
144;D_BENDER;tradiir;Deniz BENDER;D_BENDER@sqlegitimbtk.com;E;4.04.1986;18.12.2018 01:36;(536)4621320;39
145;C_TASER;pendoye1995;Can TAŞER;C_TASER@sqlegitimbtk.com;E;4.11.1953;19.12.2018 01:36;(553)1959550;72
146;M_GOKMENOGLU;mpguitar;Muharrem GÖKMENOĞLU;M_GOKMENOGLU@sqlegitimbtk.com;E;10.08.1949;20.12.2018 01:36;(532)5301810;76
147;A_KINALI;pksville;Adil KINALI;A_KINALI@sqlegitimbtk.com;E;29.04.1995;21.12.2018 01:36;(533)8398360;30
148;C_BEGEN;cassidy janzen;Çağla BEĞEN;C_BEGEN@sqlegitimbtk.com;K;22.12.1991;22.12.2018 01:36;(533)8331511;34
149;R_DINCKURT;ensoul1995;Ramazan DİNÇKURT;R_DINCKURT@sqlegitimbtk.com;E;7.11.1980;23.12.2018 01:36;(533)7557314;45
150;M_MURT;giftnotruf;Muzaffer MURT;M_MURT@sqlegitimbtk.com;E;25.06.1997;24.12.2018 01:36;(534)9931618;28
151;N_DOGUKAN;lovearecruel;Necati DOĞUKAN;N_DOGUKAN@sqlegitimbtk.com;E;10.01.1984;25.12.2018 01:36;(541)8505041;41
152;Z_TATLICI;sprnrmlty;Zübeyde TATLICI;Z_TATLICI@sqlegitimbtk.com;K;3.07.1951;26.12.2018 01:36;(555)8359728;74
153;B_ARDAHAN;pataude8;Beyzanur ARDAHAN;B_ARDAHAN@sqlegitimbtk.com;K;14.03.1947;27.12.2017 01:36;(541)9574264;78
154;S_BALIMRE;8bcarlos12;Saadet BALİMRE;S_BALIMRE@sqlegitimbtk.com;K;24.07.1987;28.12.2017 01:36;(543)8484323;38
155;A_BVYVKMUTLU;citrom1234;Asel BÜYÜKMUTLU;A_BVYVKMUTLU@sqlegitimbtk.com;K;12.11.1970;29.12.2017 01:36;(533)1337090;55
156;S_GOCMEZ;blueteal971;Semra GÖÇMEZ;S_GOCMEZ@sqlegitimbtk.com;K;9.08.1975;30.12.2017 01:36;(544)3614572;50
157;H_SAGDIC;robbieroo95;Hediye SAGDIÇ;H_SAGDIC@sqlegitimbtk.com;K;5.05.1958;1.01.2018 01:36;(543)8228218;67
158;A_GVNE;pennypreid;Aslı GÜNE;A_GVNE@sqlegitimbtk.com;K;6.05.1994;2.01.2018 01:36;(532)8235020;31
159;I_KOCAOZ;nikoly1;İrfan KOCAÖZ;I_KOCAOZ@sqlegitimbtk.com;E;20.04.1958;3.01.2018 01:36;(537)5464286;67
160;P_SENGEZKEN;lau47;Polat ŞENGEZKEN;P_SENGEZKEN@sqlegitimbtk.com;E;27.12.1949;4.01.2018 01:36;(555)3781465;76
161;M_BAGDAT;9654653;Melisa BAĞDAT;M_BAGDAT@sqlegitimbtk.com;K;6.05.1994;5.01.2018 01:36;(544)5488020;31
162;B_KARAGVNEY;lanabbyx;Batuhan KARAGÜNEY;B_KARAGVNEY@sqlegitimbtk.com;E;25.01.1999;6.01.2018 01:36;(555)8494041;26
163;M_GOCEMEN;sq334;Metehan GÖÇEMEN;M_GOCEMEN@sqlegitimbtk.com;E;6.12.1990;7.01.2018 01:36;(532)4167785;35
164;B_CETE;59ea89;Berkay ÇETE;B_CETE@sqlegitimbtk.com;E;3.10.1959;8.01.2018 01:36;(555)5801664;66
165;K_KURTULDU;clover!@#$%^&;Kübra KURTULDU;K_KURTULDU@sqlegitimbtk.com;K;9.06.1972;9.01.2018 01:36;(535)5567732;53
166;D_UZATMA;dhd64jd;Doğan UZATMA;D_UZATMA@sqlegitimbtk.com;E;3.04.1971;10.01.2018 01:36;(555)7397381;54
167;E_BVYVKTVLV;isnin{{l;Erhan BÜYÜKTÜLÜ;E_BVYVKTVLV@sqlegitimbtk.com;E;10.01.1956;11.01.2018 01:36;(543)9086784;69
168;B_GVRGAH,;stefano1337;Boran GÜRGAH,;B_GVRGAH,@sqlegitimbtk.com;E;5.07.1997;12.01.2018 01:36;(533)5038726;28
169;O_CAYIR;xalwepad;Okan CAYIR;O_CAYIR@sqlegitimbtk.com;E;19.04.1986;13.01.2018 01:36;(554)2975840;39
170;I_BOYVKBIYIK;inhome21;İsa BÖYÜKBIYIK;I_BOYVKBIYIK@sqlegitimbtk.com;E;15.06.1989;14.01.2018 01:36;(505)6923683;36
171;Y_EMRE;zertyu1558;Yunus Emre FEREK;Y_EMRE@sqlegitimbtk.com;E;18.02.1974;14.01.2018 01:36;(555)4476722;51
172;E_OZAKAR;"autobahnanschl&uuml;ssen972";Ersin ÖZAKAR;E_OZAKAR@sqlegitimbtk.com;E;20.04.1969;15.01.2018 01:36;(554)5242650;56
173;N_GAYRETLI;lidiajasso;Nurettin GAYRETLİ;N_GAYRETLI@sqlegitimbtk.com;E;27.04.1950;16.01.2018 01:36;(536)7322740;75
