ID;USERID;ADDRESSTEXT;COUNTRY;CITY;TOWN
2586;1077;ÇAPAK MAH.2576. SOKAK NO:523 97433 TORBALI/İZMİR;TÜRKİYE;İZMİR;TORBALI
2587;1077;GAZİ OSMANPAŞA MAH.ÇALKIN CADDESİ SOKAK NO:337 81206 SİNCAN/ANKARA;TÜRKİYE;ANKARA;SİNCAN
2588;1077;GÜNHAN MAH.SEVCAN SOKAK NO:370 87875 ALACA/ÇORUM;TÜRKİYE;ÇORUM;ALACA
2589;1077;BAHÇELİEVLER MAH.ADNAN MENDERES CADDESİ SOKAK NO:528 80676 MERZİFON/AMASYA;TÜRKİYE;AMASYA;MERZİFON
2590;1078;GÖKALP MAH.34/2 SOKAK NO:487 96319 ZEYTİNBURNU/İSTANBUL;TÜRKİYE;İSTANBUL;ZEYTİNBURNU
2591;1078;ELMACI MAH.DOĞANAY SOKAK NO:150 100415 KARATAY/KONYA;TÜRKİYE;KONYA;KARATAY
2592;1079;SANCAKLIBOZKÖY-CUMHURİYET MAH.GAZİNO KÜME EVLERİ SOKAK NO:542 76320 MANİSA MERKEZ/MANİSA;TÜRKİYE;MANİSA;MANİSA MERKEZ
2593;1080;ÇİMENÖZÜ KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:298 111441 NİKSAR/TOKAT;TÜRKİYE;TOKAT;NİKSAR
2594;1080;TUZCUMURAT MAH.219. SOKAK NO:822 83907 EDREMİT/BALIKESİR/BALIKESİR;TÜRKİYE;BALIKESİR;EDREMİT/BALIKESİR
2595;1080;SANAYİ MAH.DURMUŞLAR SOKAK NO:207 119548 İZMİT/KOCAELİ;TÜRKİYE;KOCAELİ;İZMİT
2596;1080;SİTE MAH.3131/1 SOKAK NO:77 96244 ÜMRANİYE/İSTANBUL;TÜRKİYE;İSTANBUL;ÜMRANİYE
2597;1081;HEYDERE KÖYÜ MAH.NEFESLİ MEVKİ SOKAK NO:164 93192 DERELİ/GİRESUN;TÜRKİYE;GİRESUN;DERELİ
2598;1081;BARIŞ MAH.4568. SOKAK NO:669 119403 KARABAĞLAR/İZMİR;TÜRKİYE;İZMİR;KARABAĞLAR
2599;1082;GÜZELCE MAH.İSİMSİZ_91 SOKAK NO:418 96341 BÜYÜKÇEKMECE/İSTANBUL;TÜRKİYE;İSTANBUL;BÜYÜKÇEKMECE
2600;1082;ALİPAŞA MAH.KÖPRÜLÜ SOKAK NO:503 110923 ÇORLU/TEKİRDAĞ;TÜRKİYE;TEKİRDAĞ;ÇORLU
2601;1083;SANAYİ MAH.2904. SOKAK NO:234 85711 BUCAK/BURDUR;TÜRKİYE;BURDUR;BUCAK
2602;1083;TEKEBAŞI-İNÖNÜ MAH.SAHİL CADDESİ SOKAK NO:806 94534 SAMANDAĞ/HATAY;TÜRKİYE;HATAY;SAMANDAĞ
2603;1084;71 EVLER MAH.LALE BAHÇE SOKAK NO:844 119141 ODUNPAZARI/ESKİŞEHİR;TÜRKİYE;ESKİŞEHİR;ODUNPAZARI
2604;1084;SARAY MAH.ULUYOL CADDESİ SOKAK NO:462 94957 YALVAÇ/ISPARTA;TÜRKİYE;ISPARTA;YALVAÇ
2605;1084;VANYOLU MAH.234. HASTAHANE VANYOLU SOKAK NO:377 114085 ERCİŞ/VAN;TÜRKİYE;VAN;ERCİŞ
2606;1085;BAYRAKLI MAH.1634. SOKAK NO:873 119373 BAYRAKLI/İZMİR;TÜRKİYE;İZMİR;BAYRAKLI
2607;1086;FATİH MAH.SAĞLIK SOKAK NO:855 110892 ÇERKEZKÖY/TEKİRDAĞ;TÜRKİYE;TEKİRDAĞ;ÇERKEZKÖY
2608;1086;TÜRKÖZÜ MAH.417. SOKAK NO:490 81175 MAMAK/ANKARA;TÜRKİYE;ANKARA;MAMAK
2609;1086;YEŞİLKÖY-MERKEZ MAH.HİLMİ TOKSOY CADDESİ SOKAK NO:487 75964 KAŞ/ANTALYA;TÜRKİYE;ANTALYA;KAŞ
2610;1086;EVRENSEKİ-EVREN MAH.31. SOKAK NO:707 82653 MANAVGAT/ANTALYA;TÜRKİYE;ANTALYA;MANAVGAT
2611;1087;İSTİKLAL-KURTPINAR MAH.53. SOKAK NO:575 111031 MURATLI/TEKİRDAĞ;TÜRKİYE;TEKİRDAĞ;MURATLI
2612;1088;BOĞAZEVCİ-KALETEPE MAH.BUZLU SOKAK NO:566 99935 ÇİÇEKDAĞI/KIRŞEHİR;TÜRKİYE;KIRŞEHİR;ÇİÇEKDAĞI
2613;1088;POLİGON MAH.124/1 SOKAK NO:265 119428 KARABAĞLAR/İZMİR;TÜRKİYE;İZMİR;KARABAĞLAR
2614;1088;YARENLER MAH.HUZUR CADDESİ SOKAK NO:493 79185 AFYONKARAHİSAR MERKEZ/AFYONKARAHİSAR;TÜRKİYE;AFYONKARAHİSAR;AFYONKARAHİSAR MERKEZ
2615;1089;LALABEL MAH.TEMİZ SOKAK NO:144 81606 ELMADAĞ/ANKARA;TÜRKİYE;ANKARA;ELMADAĞ
2616;1089;AKÇALAR ZAFER MAH.TAŞ SOKAK NO:348 85907 NİLÜFER/BURSA;TÜRKİYE;BURSA;NİLÜFER
2617;1089;YAZLIK YENİ MAH.ERTUĞRUL CADDESİ SOKAK NO:278 100225 GÖLCÜK/KOCAELİ;TÜRKİYE;KOCAELİ;GÖLCÜK
2618;1090;HAMİTLİ KÖYÜ MAH.GÖMEREN MEVKİ SOKAK NO:502 98179 CİDE/KASTAMONU;TÜRKİYE;KASTAMONU;CİDE
2619;1090;OSMANLAR KÖYÜ MAH.SARIMSAK MEVKİ SOKAK NO:26 84271 SINDIRGI/BALIKESİR;TÜRKİYE;BALIKESİR;SINDIRGI
2620;1091;AYANLAR MAH.7651. SOKAK NO:124 118975 DÖŞEMEALTI/ANTALYA;TÜRKİYE;ANTALYA;DÖŞEMEALTI
2621;1092;ESKİHİSAR MAH.1. SOKAK NO:736 88576 DENİZLİ MERKEZ/DENİZLİ;TÜRKİYE;DENİZLİ;DENİZLİ MERKEZ
2622;1092;YENİ MAHALLE MAH.HOROZKÖY CADDESİ SOKAK NO:647 103048 MANİSA MERKEZ/MANİSA;TÜRKİYE;MANİSA;MANİSA MERKEZ
2623;1092;KEMALÖZ MAH.4.TEMİZ SOKAK NO:138 113554 UŞAK MERKEZ/UŞAK;TÜRKİYE;UŞAK;UŞAK MERKEZ
2624;1093;KAVAKLIDERE-ÜNLÜ MAH.ZAKKUM SOKAK NO:131 103267 ALAŞEHİR/MANİSA;TÜRKİYE;MANİSA;ALAŞEHİR
2625;1093;TURUNÇOVA-HACIVELİLER MAH.DAR SOKAK NO:46 82322 FİNİKE/ANTALYA;TÜRKİYE;ANTALYA;FİNİKE
2626;1093;AYAŞ-MERDİVENLİKUYU MAH.KIZILBAĞ CADDESİ SOKAK NO:362 95267 ERDEMLİ/MERSİN;TÜRKİYE;MERSİN;ERDEMLİ
2627;1093;FAHRETTİN ALTAY MAH.2/15 SOKAK NO:495 119413 KARABAĞLAR/İZMİR;TÜRKİYE;İZMİR;KARABAĞLAR
2628;1094;ÇAMKÖY MAH.25. SOKAK NO:899 118973 AKSU/ANTALYA;TÜRKİYE;ANTALYA;AKSU
2629;1094;AKHAN MAH.180. SOKAK NO:287 88549 DENİZLİ MERKEZ/DENİZLİ;TÜRKİYE;DENİZLİ;DENİZLİ MERKEZ
2630;1095;GÜZELHİSAR MAH.35. SOKAK NO:107 82955 AYDIN MERKEZ/AYDIN;TÜRKİYE;AYDIN;AYDIN MERKEZ
2631;1095;GÖREME-İSALİ-GAFERLİ-AVCILAR MAH.ÜNLÜ SOKAK NO:619 105834 NEVŞEHİR MERKEZ/NEVŞEHİR;TÜRKİYE;NEVŞEHİR;NEVŞEHİR MERKEZ
2632;1095;SAHİL KENT MAH.ZÜBEYDE HANIM 9. SOKAK NO:122 83657 AYVALIK/BALIKESİR;TÜRKİYE;BALIKESİR;AYVALIK
2633;1095;ADAKSU B.M KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:161 76192 MALAZGİRT/MUŞ;TÜRKİYE;MUŞ;MALAZGİRT
2634;1096;YEŞİLBAYIR MAH.4921. SOKAK NO:604 118978 DÖŞEMEALTI/ANTALYA;TÜRKİYE;ANTALYA;DÖŞEMEALTI
2635;1097;AKÇALI-YENİŞEHİR MAH.İNCİ CADDESİ SOKAK NO:769 122223 İSKENDERUN/HATAY;TÜRKİYE;HATAY;İSKENDERUN
2636;1097;HACIBEY MAH.GÜVEN SOKAK NO:20 103216 ALAŞEHİR/MANİSA;TÜRKİYE;MANİSA;ALAŞEHİR
2637;1097;MECİDİYE MAH.6. SOKAK NO:771 79169 AFYONKARAHİSAR MERKEZ/AFYONKARAHİSAR;TÜRKİYE;AFYONKARAHİSAR;AFYONKARAHİSAR MERKEZ
2638;1097;ÇİÇEKTEPE-CUMHURİYET MAH.1 NCİ MEHMET AKİF ERSOY SOKAK NO:781 75655 DİNAR/AFYONKARAHİSAR;TÜRKİYE;AFYONKARAHİSAR;DİNAR
2639;1098;ORG.NAFİZ GÜRMAN MAH.7099/1 SOKAK NO:786 119383 BAYRAKLI/İZMİR;TÜRKİYE;İZMİR;BAYRAKLI
2640;1098;İSTASYON MAH.1425. SOKAK NO:857 99583 KIRKLARELİ MERKEZ/KIRKLARELİ;TÜRKİYE;KIRKLARELİ;KIRKLARELİ MERKEZ
2641;1099;TARABYA MAH.HATMİ SOKAK NO:815 96157 SARIYER/İSTANBUL;TÜRKİYE;İSTANBUL;SARIYER
2642;1099;KAYACIK MAH.1720. SOKAK NO:434 126280 BANDIRMA/BALIKESİR;TÜRKİYE;BALIKESİR;BANDIRMA
2643;1100;BAHÇELİEVLER MAH.İSİMSİZ_240 SOKAK NO:774 96335 BÜYÜKÇEKMECE/İSTANBUL;TÜRKİYE;İSTANBUL;BÜYÜKÇEKMECE
2644;1100;YAZIR-AŞAĞI MAH.9. SOKAK NO:809 88729 ACIPAYAM/DENİZLİ;TÜRKİYE;DENİZLİ;ACIPAYAM
2645;1100;MERKEZBOZTAHTA KÖYÜ MAH.SOFULAR MEVKİ SOKAK NO:749 78483 KARAİSALI/ADANA;TÜRKİYE;ADANA;KARAİSALI
2646;1100;YUKARINOHUTLU MAH.SADIÇ 1 SOKAK NO:896 114307 YOZGAT MERKEZ/YOZGAT;TÜRKİYE;YOZGAT;YOZGAT MERKEZ
2647;1101;ESENTEPE MAH.989. SOKAK NO:706 119958 SERDİVAN/SAKARYA;TÜRKİYE;SAKARYA;SERDİVAN
2648;1101;TALATPAŞA MAH.HİCRET SOKAK NO:878 96031 KAĞITHANE/İSTANBUL;TÜRKİYE;İSTANBUL;KAĞITHANE
2649;1102;BARIŞ MAH.İSTİKLAL CADDESİ SOKAK NO:157 117753 KİLİS MERKEZ/KİLİS;TÜRKİYE;KİLİS;KİLİS MERKEZ
2650;1102;BAĞLARBAŞI MAH.4.HAKİM SOKAK NO:660 85994 OSMANGAZİ/BURSA;TÜRKİYE;BURSA;OSMANGAZİ
2651;1102;BAYIRALAN KÖYÜ MAH.HÜLÜR MEVKİ SOKAK NO:597 106656 GÖLKÖY/ORDU;TÜRKİYE;ORDU;GÖLKÖY
2652;1102;OVA MAH.44248. SOKAK NO:132 78103 SEYHAN/ADANA;TÜRKİYE;ADANA;SEYHAN
2653;1103;OVAKENT-YAZYURDU MAH.AKDAĞ SOKAK NO:821 120571 ÖDEMİŞ/İZMİR;TÜRKİYE;İZMİR;ÖDEMİŞ
2654;1104;MUSTAFA KEMAL PAŞA MAH.FAİK YAĞCI SOKAK NO:486 117332 YALOVA MERKEZ/YALOVA;TÜRKİYE;YALOVA;YALOVA MERKEZ
2655;1105;BALİBEY MAH.KARDELEN SOKAK NO:700 96432 ŞİLE/İSTANBUL;TÜRKİYE;İSTANBUL;ŞİLE
2656;1106;UĞUR MUMCU MAH.1638. SOKAK NO:891 81293 YENİMAHALLE/ANKARA;TÜRKİYE;ANKARA;YENİMAHALLE
2657;1106;TÖMÜK-GÜNEY MAH.MEHMET ALİ COŞGUN CADDESİ SOKAK NO:641 74138 ERDEMLİ/MERSİN;TÜRKİYE;MERSİN;ERDEMLİ
2658;1106;ÇAYIREKİNLİĞİ MAH.KARACAOĞLAN SOKAK NO:614 95205 ÇAMLIYAYLA/MERSİN;TÜRKİYE;MERSİN;ÇAMLIYAYLA
2659;1107;DAVUTLAR-TÜRKŞANLI MAH.BALKAN SOKAK NO:112 73430 KUŞADASI/AYDIN;TÜRKİYE;AYDIN;KUŞADASI
2660;1108;BAĞLARBAŞI MAH.CİMBEK SOKAK NO:6 117636 SAFRANBOLU/KARABÜK;TÜRKİYE;KARABÜK;SAFRANBOLU
2661;1108;BAŞPINAR MAH.124. SOKAK NO:17 107887 HENDEK/SAKARYA;TÜRKİYE;SAKARYA;HENDEK
2662;1108;ULUKAVAK MAH.ÇİFTLİK PINARI 3. CAD. CADDESİ SOKAK NO:493 87718 ÇORUM MERKEZ/ÇORUM;TÜRKİYE;ÇORUM;ÇORUM MERKEZ
2663;1108;KESECİK KÖYÜ MAH.YEMLİCE MEZRASI SOKAK NO:861 77028 BESNİ/ADIYAMAN;TÜRKİYE;ADIYAMAN;BESNİ
2664;1109;ABDULHALİK RENDA MAH.ÇAĞDAŞ SOKAK NO:92 87276 ÇANKIRI MERKEZ/ÇANKIRI;TÜRKİYE;ÇANKIRI;ÇANKIRI MERKEZ
2665;1109;AŞAĞIÇİĞİL-HACIALİ MAH.AHMET YESEVİ SOKAK NO:539 72115 ILGIN/KONYA;TÜRKİYE;KONYA;ILGIN
2666;1109;CAMİİKEBİR MAH.109. SOKAK NO:381 84038 HAVRAN/BALIKESİR;TÜRKİYE;BALIKESİR;HAVRAN
2667;1109;KUŞDİLLİ MAH.1194. SOKAK NO:457 99788 KIRŞEHİR MERKEZ/KIRŞEHİR;TÜRKİYE;KIRŞEHİR;KIRŞEHİR MERKEZ
2668;1110;YENİ MAH.318/1. SOKAK NO:371 100226 GÖLCÜK/KOCAELİ;TÜRKİYE;KOCAELİ;GÖLCÜK
2669;1111;BOĞAZİÇİ MAH.ÇİĞİLTEPE SOKAK NO:227 118050 DÜZİÇİ/OSMANİYE;TÜRKİYE;OSMANİYE;DÜZİÇİ
2670;1111;YİĞİTLER MAH.23-EFE SOKAK NO:5 109937 SİVAS MERKEZ/SİVAS;TÜRKİYE;SİVAS;SİVAS MERKEZ
2671;1111;AYDINLIK MAH.39 NOLU ÇIKMAZ SOKAK NO:656 92590 İSLAHİYE/GAZİANTEP;TÜRKİYE;GAZİANTEP;İSLAHİYE
2672;1111;ÇOLAK İBRAHİM BEY MAH.11. SOKAK NO:128 97314 SEFERİHİSAR/İZMİR;TÜRKİYE;İZMİR;SEFERİHİSAR
2673;1112;BOĞAZKÖY İSTİKLAL MAH.ZEYTİNLİK SOKAK NO:160 119265 ARNAVUTKÖY/İSTANBUL;TÜRKİYE;İSTANBUL;ARNAVUTKÖY
2674;1112;YUKARI MAH.ŞAHİN AĞA SOKAK NO:423 87476 ILGAZ/ÇANKIRI;TÜRKİYE;ÇANKIRI;ILGAZ
2675;1113;BAŞARAN-CUMHURİYET MAH.ATATÜRK CADDESİ SOKAK NO:679 83382 KUYUCAK/AYDIN;TÜRKİYE;AYDIN;KUYUCAK
2676;1113;ALTUNKALEM MAH.ŞİRVANCI SOKAK NO:770 100722 AKŞEHİR/KONYA;TÜRKİYE;KONYA;AKŞEHİR
2677;1114;CUMA MAH.HAZAR-6 SOKAK NO:487 99977 KAMAN/KIRŞEHİR;TÜRKİYE;KIRŞEHİR;KAMAN
2678;1114;ÇAMLIBAHÇE MAH.BUZ ÇIKMAZI SOKAK NO:79 95743 BEYKOZ/İSTANBUL;TÜRKİYE;İSTANBUL;BEYKOZ
2679;1114;ÖZYURT MAH.İDARİ BÖLGE KÜME EVLERİ SOKAK NO:437 101961 GEDİZ/KÜTAHYA;TÜRKİYE;KÜTAHYA;GEDİZ
2680;1114;ÇINARLI MAH.MERMERCİ SOKAK NO:524 110879 TEKİRDAĞ MERKEZ/TEKİRDAĞ;TÜRKİYE;TEKİRDAĞ;TEKİRDAĞ MERKEZ
2681;1115;DEREAĞZI MAH.İNÖNÜ CADDESİ SOKAK NO:497 119295 BEYLİKDÜZÜ/İSTANBUL;TÜRKİYE;İSTANBUL;BEYLİKDÜZÜ
2682;1115;GÖZCÜLER-ÇETİLLİK MAH.ARSLAN SOKAK NO:670 122233 İSKENDERUN/HATAY;TÜRKİYE;HATAY;İSKENDERUN
2683;1115;GÖKÇEÖREN KÖYÜ MAH.ÇOBANOĞLU MEVKİ SOKAK NO:416 100118 İZMİT/KOCAELİ;TÜRKİYE;KOCAELİ;İZMİT
2684;1115;ÇİFTLİK MAH.4242.. SOKAK NO:242 100230 GÖLCÜK/KOCAELİ;TÜRKİYE;KOCAELİ;GÖLCÜK
2685;1116;MESUDİYE MAH.AKÇINAR SOKAK NO:107 83164 GERMENCİK/AYDIN;TÜRKİYE;AYDIN;GERMENCİK
2686;1117;AKBÜK-ADNAN MENDERES MAH.1148. SOKAK NO:813 83152 DİDİM/AYDIN;TÜRKİYE;AYDIN;DİDİM
2687;1117;CENGİZ TOPEL MAH.GAZZE SOKAK NO:820 103696 SARUHANLI/MANİSA;TÜRKİYE;MANİSA;SARUHANLI
2688;1117;GÜMÜŞPALA MAH.7022. SOKAK NO:472 119378 BAYRAKLI/İZMİR;TÜRKİYE;İZMİR;BAYRAKLI
2689;1118;GEÇİT MAH.2.AKVARYUM SOKAK NO:45 86013 OSMANGAZİ/BURSA;TÜRKİYE;BURSA;OSMANGAZİ
2690;1118;BAŞTARLA MAH.MEHMET MAKSUT SOKAK NO:147 114996 ZONGULDAK MERKEZ/ZONGULDAK;TÜRKİYE;ZONGULDAK;ZONGULDAK MERKEZ
2691;1118;TAVŞANLI KÖYÜ MAH.SARMAŞIK MEVKİ SOKAK NO:362 72886 ARAÇ/KASTAMONU;TÜRKİYE;KASTAMONU;ARAÇ
2692;1119;HACI İLYAS MAH.4.DÜZ SOKAK NO:323 86016 OSMANGAZİ/BURSA;TÜRKİYE;BURSA;OSMANGAZİ
2693;1119;KOLUKISA-BERATLI MAH.KIŞLA SOKAK NO:154 77448 KADINHANI/KONYA;TÜRKİYE;KONYA;KADINHANI
2694;1119;KUMKALE-MEHMET ÇAVUŞ MAH.HAFIZ İZZET MISIRLI SOKAK NO:342 124452 ÇANAKKALE MERKEZ/ÇANAKKALE;TÜRKİYE;ÇANAKKALE;ÇANAKKALE MERKEZ
2695;1120;OVAAKÇA MERKEZ MAH.OVAAKÇA OSMANGAZİ CADDESİ SOKAK NO:94 86045 OSMANGAZİ/BURSA;TÜRKİYE;BURSA;OSMANGAZİ
2696;1120;CAMİKEBİR MAH.ÇANAKKALE İZMİR ASFALTI KÜME EVLERİ SOKAK NO:230 87139 EZİNE/ÇANAKKALE;TÜRKİYE;ÇANAKKALE;EZİNE
2697;1120;SIRABADEMLER MAH.143. SOKAK NO:606 86471 KARACABEY/BURSA;TÜRKİYE;BURSA;KARACABEY
2698;1121;FATİH MAH.NADİR SOKAK NO:167 119580 KARTEPE/KOCAELİ;TÜRKİYE;KOCAELİ;KARTEPE
2699;1121;SELAHATTİN MAH.511. SOKAK NO:16 89828 SİLVAN/DİYARBAKIR;TÜRKİYE;DİYARBAKIR;SİLVAN
2700;1122;GÜLLÜCE KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:651 80368 PATNOS/AĞRI;TÜRKİYE;AĞRI;PATNOS
2701;1123;ALTINOLUK-İSKELE MAH.İSMETPAŞA 6.1.ARALIK SOKAK NO:812 71857 EDREMİT/BALIKESİR/BALIKESİR;TÜRKİYE;BALIKESİR;EDREMİT/BALIKESİR
2702;1123;YESILKENT MAH.G-592 SOKAK NO:403 95641 AVCILAR/İSTANBUL;TÜRKİYE;İSTANBUL;AVCILAR
2703;1123;BATTALGAZİ MAH.KÜPELİ SOKAK NO:664 96420 SULTANBEYLİ/İSTANBUL;TÜRKİYE;İSTANBUL;SULTANBEYLİ
2704;1124;HİSARLIK-BÜYÜK MAH.FATİH CADDESİ SOKAK NO:743 100870 BOZKIR/KONYA;TÜRKİYE;KONYA;BOZKIR
2705;1124;PEHLİVAN MAH.ŞENLER CADDESİ SOKAK NO:386 93980 HAKKARİ MERKEZ/HAKKARİ;TÜRKİYE;HAKKARİ;HAKKARİ MERKEZ
2706;1124;MİMAR SİNAN MAH.ŞEHİT. MURAT AKUTAY CADDESİ SOKAK NO:643 101103 EREĞLİ/KONYA/KONYA;TÜRKİYE;KONYA;EREĞLİ/KONYA
2707;1124;YENİKÖY MAH.KÖMÜRCÜLER SOKAK NO:653 107175 RİZE MERKEZ/RİZE;TÜRKİYE;RİZE;RİZE MERKEZ
2708;1125;ALTINKUM MAH.152. SOKAK NO:166 83143 DİDİM/AYDIN;TÜRKİYE;AYDIN;DİDİM
2709;1125;ERÇEK-GÖLÜSTÜ MAH.SABIR SOKAK NO:84 74242 VAN MERKEZ/VAN;TÜRKİYE;VAN;VAN MERKEZ
2710;1125;AZİZİYE-AŞAĞI MAH.FATİH SOKAK NO:715 123473 EREĞLİ/KONYA/KONYA;TÜRKİYE;KONYA;EREĞLİ/KONYA
2711;1126;YATAĞAN-DR.BAHA AKŞİT MAH.8. SOKAK NO:845 89163 SERİNHİSAR/DENİZLİ;TÜRKİYE;DENİZLİ;SERİNHİSAR
2712;1126;KOZAĞAÇ MAH.AKARSU SOKAK NO:775 100559 MERAM/KONYA;TÜRKİYE;KONYA;MERAM
2713;1126;GÖKÇEDERE-KARŞIYAKA MAH.TURGUT ÖZAL CADDESİ SOKAK NO:750 115793 DEMİRÖZÜ/BAYBURT;TÜRKİYE;BAYBURT;DEMİRÖZÜ
2714;1126;ÇATALARIK MAH.1309. SOKAK NO:344 105261 FETHİYE/MUĞLA;TÜRKİYE;MUĞLA;FETHİYE
2715;1127;TABAKHANE MAH.FUAT SOKAK NO:310 87287 ÇANKIRI MERKEZ/ÇANKIRI;TÜRKİYE;ÇANKIRI;ÇANKIRI MERKEZ
2716;1127;MÜSLÜMANA MAH.ATİK SOKAK NO:788 79355 BOLVADİN/AFYONKARAHİSAR;TÜRKİYE;AFYONKARAHİSAR;BOLVADİN
2717;1127;KARACASU-KARACASU FATİH MAH.AYDIN SOKAK NO:442 125886 BOLU MERKEZ/BOLU;TÜRKİYE;BOLU;BOLU MERKEZ
2718;1128;ÇİĞDEMTEPE MAH.1095/2 SOKAK NO:575 81307 YENİMAHALLE/ANKARA;TÜRKİYE;ANKARA;YENİMAHALLE
2719;1129;KARAKIZ-MERKEZ MAH.PAZAR SOKAK NO:841 114835 SORGUN/YOZGAT;TÜRKİYE;YOZGAT;SORGUN
2720;1129;VATAN MAH.3.AKKUŞ SOKAK NO:639 86155 YILDIRIM/BURSA;TÜRKİYE;BURSA;YILDIRIM
2721;1129;GÖZTEPE MAH.EKSEN SOKAK NO:243 95730 BEYKOZ/İSTANBUL;TÜRKİYE;İSTANBUL;BEYKOZ
2722;1130;GÖMBE-UÇARSU MAH.1.ÇIKMAZ SOKAK NO:267 125780 KAŞ/ANTALYA;TÜRKİYE;ANTALYA;KAŞ
2723;1130;KÜRECİ-FATİH MAH.ŞAFAK SOKAK NO:86 71498 HASSA/HATAY;TÜRKİYE;HATAY;HASSA
2724;1131;KÜLTÜR MAH.192. SOKAK NO:60 84697 GENÇ/BİNGÖL;TÜRKİYE;BİNGÖL;GENÇ
2725;1132;MERKEZ MAH.ESKİ SOKAK NO:19 93228 ESPİYE/GİRESUN;TÜRKİYE;GİRESUN;ESPİYE
2726;1133;HACIBEKİR MAH.25121 KIŞLAYOLU 7 SOKAK NO:826 113856 VAN MERKEZ/VAN;TÜRKİYE;VAN;VAN MERKEZ
